Temperature,Rainfall,Humidity,Pressure,RainToday,RainTomorrow
17.5,2.4,9.95,6.175,Yes,1
17.45,3,10.225,6.6125,Yes,0
17.35,1,9.175,5.0875,No,1
16.4,3,9.7,6.35,Yes,0
16.95,0,8.475,4.2375,No,1
17.5,1.2,9.35,5.275,Yes,0
16.85,0,8.425,4.2125,No,0
17,0,8.5,4.25,No,1
16.9,1.9,9.4,5.65,Yes,0
16.7,0.9,8.8,4.85,No,0
16.55,0,8.275,4.1375,No,0
19.2,0.6,9.9,5.25,No,1
17.7,7.4,12.55,9.975,Yes,1
17.5,0,8.75,4.375,No,1
17.8,11.2,14.5,12.85,Yes,0
16.4,0.4,8.4,4.4,No,0
16.6,0,8.3,4.15,No,0
16.9,0,8.45,4.225,No,0
16.25,0,8.125,4.0625,No,0
16.3,29.4,22.85,26.125,Yes,0
14.7,1,7.85,4.425,No,0
14.9,0.1,7.5,3.8,No,1
14.7,1.4,8.05,4.725,Yes,1
14.2,3.6,8.9,6.25,Yes,0
14.55,0,7.275,3.6375,No,0
15.6,0,7.8,3.9,No,0
16,0,8,4,No,1
14.95,4,9.475,6.7375,Yes,1
15.8,8.6,12.2,10.4,Yes,1
16.45,1,8.725,4.8625,No,1
15.45,4.7,10.075,7.3875,Yes,0
15.85,0.2,8.025,4.1125,No,1
15.8,1.1,8.45,4.775,Yes,1
16.9,4,10.45,7.225,Yes,0
18.3,0,9.15,4.575,No,0
17.3,23.6,20.45,22.025,Yes,1
16.7,13.8,15.25,14.525,Yes,1
17.95,5.7,11.825,8.7625,Yes,1
16.7,2.7,9.7,6.2,Yes,0
16.6,0,8.3,4.15,No,0
17.2,0,8.6,4.3,No,0
16.4,0,8.2,4.1,No,0
16.35,5.8,11.075,8.4375,Yes,1
16.9,7,11.95,9.475,Yes,0
17.35,0,8.675,4.3375,No,0
15.1,0.3,7.7,4,No,0
15.7,0,7.85,3.925,No,1
15.85,3,9.425,6.2125,Yes,1
17.35,0,8.675,4.3375,No,0
19.25,0.2,9.725,4.9625,No,1
19.7,0.8,10.25,5.525,No,0
18.2,0.8,9.5,5.15,No,1
19.2,4.6,11.9,8.25,Yes,0
18.9,0.8,9.85,5.325,No,0
19.1,0.6,9.85,5.225,No,1
17.9,4.5,11.2,7.85,Yes,1
18.2,4,11.1,7.55,Yes,1
16.95,7,11.975,9.4875,Yes,1
20.45,0,10.225,5.1125,No,0
17.7,0,8.85,4.425,No,0
17.85,0,8.925,4.4625,No,0
17.7,0.4,9.05,4.725,No,0
19.3,0,9.65,4.825,No,0
18.1,0,9.05,4.525,No,0
17.9,0,8.95,4.475,No,1
16.4,0,8.2,4.1,No,0
17.35,0,8.675,4.3375,No,0
18.1,0.4,9.25,4.825,No,1
16.3,6.8,11.55,9.175,Yes,0
17.45,0.4,8.925,4.6625,No,0
16.65,0.2,8.425,4.3125,No,0
16.85,0,8.425,4.2125,No,0
19.1,0,9.55,4.775,No,1
18.75,3.4,11.075,7.2375,Yes,0
17.25,0,8.625,4.3125,No,0
18.8,0.2,9.5,4.85,No,0
17.9,0.6,9.25,4.925,No,0
17.8,0.2,9,4.6,No,0
18.7,0,9.35,4.675,No,1
19,11.4,15.2,13.3,Yes,1
18.55,1.6,10.075,5.8375,Yes,0
19.1,0.4,9.75,5.075,No,0
17.75,0,8.875,4.4375,No,0
19.7,0,9.85,4.925,No,0
21.35,0.2,10.775,5.4875,No,1
20.45,75,47.725,61.3625,Yes,1
17.55,1.2,9.375,5.2875,Yes,0
18.4,0,9.2,4.6,No,0
18.25,0,9.125,4.5625,No,0
19.95,0,9.975,4.9875,No,0
21,0,10.5,5.25,No,0
20.95,1.8,11.375,6.5875,Yes,1
19.75,33.6,26.675,30.1375,Yes,0
20.6,0,10.3,5.15,No,0
19.95,0,9.975,4.9875,No,0
19.65,0,9.825,4.9125,No,0
19.7,0,9.85,4.925,No,0
19.55,0,9.775,4.8875,No,0
19.3,0,9.65,4.825,No,0
19.6,0,9.8,4.9,No,0
21.95,0,10.975,5.4875,No,1
19.8,3,11.4,7.2,Yes,0
20,0,10,5,No,0
21.95,0.4,11.175,5.7875,No,1
22.15,1.8,11.975,6.8875,Yes,0
21.2,0,10.6,5.3,No,0
22.75,0,11.375,5.6875,No,1
22.05,1.8,11.925,6.8625,Yes,1
21.65,8.2,14.925,11.5625,Yes,0
21.95,0,10.975,5.4875,No,0
23.1,0,11.55,5.775,No,0
22.9,0,11.45,5.725,No,0
24.15,0,12.075,6.0375,No,0
23.55,1.4,12.475,6.9375,Yes,0
21.75,5.8,13.775,9.7875,Yes,0
22.15,0,11.075,5.5375,No,0
21.95,0,10.975,5.4875,No,0
21.9,2.8,12.35,7.575,Yes,0
23.75,0,11.875,5.9375,No,0
24.45,0.2,12.325,6.2625,No,0
24.9,0,12.45,6.225,No,0
24.1,0,12.05,6.025,No,0
23.4,0,11.7,5.85,No,0
22.15,0,11.075,5.5375,No,0
23.95,0.8,12.375,6.5875,No,1
25.05,2.8,13.925,8.3625,Yes,0
23.5,0,11.75,5.875,No,0
23.95,11.4,17.675,14.5375,Yes,0
24.2,0,12.1,6.05,No,0
23.5,0.6,12.05,6.325,No,0
23.5,0,11.75,5.875,No,0
24,17,20.5,18.75,Yes,1
23.5,3,13.25,8.125,Yes,1
22.5,17.2,19.85,18.525,Yes,1
22,6.4,14.2,10.3,Yes,1
22,0.2,11.1,5.65,No,1
22,0,11,5.5,No,0
21.5,0,10.75,5.375,No,0
21.5,0,10.75,5.375,No,0
20.5,0,10.25,5.125,No,0
20.5,0,10.25,5.125,No,0
21,0.6,10.8,5.7,No,0
22,0,11,5.5,No,0
23.65,0.2,11.925,6.0625,No,0
25.4,0,12.7,6.35,No,0
24.8,0,12.4,6.2,No,1
23.3,1.4,12.35,6.875,Yes,0
22.3,0,11.15,5.575,No,0
20.55,0.2,10.375,5.2875,No,0
22.6,0,11.3,5.65,No,0
23.7,0,11.85,5.925,No,0
23.7,0,11.85,5.925,No,1
21.9,2,11.95,6.975,Yes,0
20.65,0,10.325,5.1625,No,1
20.3,3.6,11.95,7.775,Yes,0
19.75,0.2,9.975,5.0875,No,0
20.2,0.6,10.4,5.5,No,0
20.2,0,10.1,5.05,No,0
19.95,0.4,10.175,5.2875,No,0
19.65,4.8,12.225,8.5125,Yes,1
21.1,0,10.55,5.275,No,0
20.65,0,10.325,5.1625,No,0
19.9,0,9.95,4.975,No,0
21,0,10.5,5.25,No,0
22,0,11,5.5,No,1
19.95,37.4,28.675,33.0375,Yes,1
20.25,2,11.125,6.5625,Yes,0
19.7,0,9.85,4.925,No,0
19.5,5.6,12.55,9.075,Yes,0
19.45,1,10.225,5.6125,No,0
19.05,0,9.525,4.7625,No,0
21.9,0.2,11.05,5.625,No,1
21.3,2.4,11.85,7.125,Yes,1
19.85,0,9.925,4.9625,No,0
20,0,10,5,No,1
20.25,4.8,12.525,8.6625,Yes,0
19.3,0.2,9.75,4.975,No,0
18.7,0.2,9.45,4.825,No,0
20.5,0,10.25,5.125,No,1
20.25,1.6,10.925,6.2625,Yes,1
18.85,20.8,19.825,20.3125,Yes,1
19.05,4,11.525,7.7625,Yes,0
19.25,0.4,9.825,5.1125,No,0
18.15,1.4,9.775,5.5875,Yes,0
17.35,0.4,8.875,4.6375,No,1
18.35,2.2,10.275,6.2375,Yes,0
18.15,0,9.075,4.5375,No,1
16.1,5,10.55,7.775,Yes,0
16.6,0.2,8.4,4.3,No,0
17,0,8.5,4.25,No,0
17.65,0,8.825,4.4125,No,1
16.95,28.4,22.675,25.5375,Yes,0
17.35,0,8.675,4.3375,No,0
16.3,0.2,8.25,4.225,No,0
17.75,0.2,8.975,4.5875,No,0
18.5,0,9.25,4.625,No,1
17.45,1.2,9.325,5.2625,Yes,0
18.05,0,9.025,4.5125,No,1
18.2,4.4,11.3,7.85,Yes,1
18.55,30,24.275,27.1375,Yes,1
19.1,13.6,16.35,14.975,Yes,1
19.25,12.4,15.825,14.1125,Yes,1
18.45,2.2,10.325,6.2625,Yes,0
16.9,0.2,8.55,4.375,No,1
17.45,3.8,10.625,7.2125,Yes,0
23.9,0,11.95,5.975,No,0
23.35,0,11.675,5.8375,No,0
24.65,0,12.325,6.1625,No,0
21,0,10.5,5.25,No,0
27.15,0.2,13.675,6.9375,No,0
24.45,4.8,14.625,9.7125,Yes,0
18.3,6.8,12.55,9.675,Yes,1
24.25,42.2,33.225,37.7125,Yes,0
22.3,0,11.15,5.575,No,0
21.2,0,10.6,5.3,No,0
21.7,0,10.85,5.425,No,0
23.2,0,11.6,5.8,No,0
26.05,0,13.025,6.5125,No,0
22.15,0,11.075,5.5375,No,0
19.15,0,9.575,4.7875,No,0
21.7,0,10.85,5.425,No,0
22.85,0,11.425,5.7125,No,0
19.1,0,9.55,4.775,No,0
22.7,0.6,11.65,6.125,No,0
25.2,1.4,13.3,7.35,Yes,0
18.65,0,9.325,4.6625,No,0
24.9,0,12.45,6.225,No,0
29.05,0,14.525,7.2625,No,0
18.55,1.4,9.975,5.6875,Yes,0
20.55,0,10.275,5.1375,No,0
23.65,8.4,16.025,12.2125,Yes,0
29.05,0,14.525,7.2625,No,0
31.8,0,15.9,7.95,No,0
27.15,1,14.075,7.5375,No,0
19.9,0.2,10.05,5.125,No,0
27.6,2.2,14.9,8.55,Yes,0
32.6,0,16.3,8.15,No,0
24.55,0,12.275,6.1375,No,0
24.6,5.6,15.1,10.35,Yes,0
27.2,0.2,13.7,6.95,No,0
27.3,0,13.65,6.825,No,0
27.6,0,13.8,6.9,No,0
28.3,0,14.15,7.075,No,0
28.3,0.2,14.25,7.225,No,0
27.85,0,13.925,6.9625,No,0
30.25,0,15.125,7.5625,No,0
31.15,0,15.575,7.7875,No,0
22.9,0,11.45,5.725,No,1
18.8,3.2,11,7.1,Yes,1
19.1,6.6,12.85,9.725,Yes,1
17.7,0.8,9.25,5.025,No,1
16.65,28,22.325,25.1625,Yes,1
18.3,32.8,25.55,29.175,Yes,1
19.8,3.8,11.8,7.8,Yes,1
22.6,10.8,16.7,13.75,Yes,0
23.8,0,11.9,5.95,No,0
26.15,0.4,13.275,6.8375,No,0
25.4,0.2,12.8,6.5,No,0
22.45,0,11.225,5.6125,No,0
23.95,0,11.975,5.9875,No,0
24.15,0,12.075,6.0375,No,0
23.75,0,11.875,5.9375,No,0
23.45,0,11.725,5.8625,No,0
19.3,0,9.65,4.825,No,0
18.75,0,9.375,4.6875,No,0
22.1,0,11.05,5.525,No,0
21.95,0,10.975,5.4875,No,1
21.05,8.8,14.925,11.8625,Yes,0
21.8,1,11.4,6.2,No,0
19.45,0,9.725,4.8625,No,1
22.35,0,11.175,5.5875,No,1
22.25,2,12.125,7.0625,Yes,1
21.85,0,10.925,5.4625,No,0
22.75,0,11.375,5.6875,No,0
23.65,0,11.825,5.9125,No,0
22.3,0,11.15,5.575,No,0
21.85,0,10.925,5.4625,No,0
23.3,0,11.65,5.825,No,0
24.7,18.2,21.45,19.825,Yes,0
21.75,0.2,10.975,5.5875,No,0
20.15,0,10.075,5.0375,No,0
20,0,10,5,No,0
21.75,0,10.875,5.4375,No,1
19.9,2.4,11.15,6.775,Yes,1
20.4,36.8,28.6,32.7,Yes,1
22.85,2.4,12.625,7.5125,Yes,1
20.35,0,10.175,5.0875,No,0
17.85,0,8.925,4.4625,No,0
17.9,0,8.95,4.475,No,0
18.35,0,9.175,4.5875,No,0
19.45,0,9.725,4.8625,No,1
20.65,1.2,10.925,6.0625,Yes,0
20.75,0.2,10.475,5.3375,No,1
16.9,0,8.45,4.225,No,0
17.55,0,8.775,4.3875,No,1
17.15,7.8,12.475,10.1375,Yes,1
17.6,1.6,9.6,5.6,Yes,1
18.45,3.2,10.825,7.0125,Yes,0
17.8,0.2,9,4.6,No,0
17.15,0,8.575,4.2875,No,0
14.7,0,7.35,3.675,No,0
12.5,0,6.25,3.125,No,0
14.6,0,7.3,3.65,No,0
14.45,0,7.225,3.6125,No,0
14.9,0.2,7.55,3.875,No,0
16.5,0,8.25,4.125,No,0
16.7,0,8.35,4.175,No,0
17.2,0,8.6,4.3,No,0
16.15,0.2,8.175,4.1875,No,0
16,0,8,4,No,0
14.4,0,7.2,3.6,No,0
14.6,0.4,7.5,3.95,No,0
13.7,0,6.85,3.425,No,0
14.45,0,7.225,3.6125,No,0
13.3,0,6.65,3.325,No,0
14.1,0,7.05,3.525,No,0
16.15,0,8.075,4.0375,No,1
16.7,11.8,14.25,13.025,Yes,1
16.1,14.4,15.25,14.825,Yes,1
17.35,30,23.675,26.8375,Yes,1
14.15,0.4,7.275,3.8375,No,1
14.7,0,7.35,3.675,No,0
14.85,0.2,7.525,3.8625,No,1
14.85,9.2,12.025,10.6125,Yes,0
14.95,0.6,7.775,4.1875,No,1
15.75,7.6,11.675,9.6375,Yes,0
15.7,0,7.85,3.925,No,0
14.15,1.2,7.675,4.4375,Yes,0
13.2,0,6.6,3.3,No,0
11.4,0,5.7,2.85,No,0
9.05,0,4.525,2.2625,No,0
9.35,0.2,4.775,2.4875,No,0
9.45,0,4.725,2.3625,No,0
10.8,0,5.4,2.7,No,0
12.15,0.2,6.175,3.1875,No,0
13,0.2,6.6,3.4,No,1
12.6,2.2,7.4,4.8,Yes,1
13.25,1.4,7.325,4.3625,Yes,1
12.95,0.2,6.575,3.3875,No,0
11.35,0.4,5.875,3.1375,No,0
10.9,0.2,5.55,2.875,No,0
11.9,0,5.95,2.975,No,0
10.7,0.2,5.45,2.825,No,0
13.35,0.2,6.775,3.4875,No,0
14.2,0,7.1,3.55,No,0
15.15,0,7.575,3.7875,No,0
10.25,0,5.125,2.5625,No,0
7.3,0.2,3.75,1.975,No,0
13.15,1.8,7.475,4.6375,Yes,0
11.45,0.6,6.025,3.3125,No,0
12.85,0,6.425,3.2125,No,0
12.7,0,6.35,3.175,No,0
8.9,0,4.45,2.225,No,0
10.8,0.2,5.5,2.85,No,1
12.65,2.8,7.725,5.2625,Yes,0
16.6,0,8.3,4.15,No,1
13.7,1.4,7.55,4.475,Yes,0
9.8,0.2,5,2.6,No,0
8.1,0,4.05,2.025,No,1
10.9,0,5.45,2.725,No,0
11.2,0.2,5.7,2.95,No,0
11.45,0,5.725,2.8625,No,0
12,0.2,6.1,3.15,No,0
11.6,0,5.8,2.9,No,0
11.05,0,5.525,2.7625,No,0
12.15,0,6.075,3.0375,No,0
14.1,0,7.05,3.525,No,0
10.2,0.2,5.2,2.7,No,0
12.25,0,6.125,3.0625,No,1
13.45,0,6.725,3.3625,No,0
15.3,0,7.65,3.825,No,0
15.95,0.2,8.075,4.1375,No,0
11.95,0,5.975,2.9875,No,0
12.35,0,6.175,3.0875,No,0
14.9,0,7.45,3.725,No,0
16.3,0,8.15,4.075,No,0
16.2,0,8.1,4.05,No,0
15.05,0,7.525,3.7625,No,0
18.9,0.4,9.65,5.025,No,0
13.25,0,6.625,3.3125,No,0
14.25,0,7.125,3.5625,No,0
18.45,4,11.225,7.6125,Yes,0
16.95,0,8.475,4.2375,No,0
14.5,0,7.25,3.625,No,0
16.05,0.2,8.125,4.1625,No,0
14.4,0.2,7.3,3.75,No,0
14.05,0,7.025,3.5125,No,0
14.2,0,7.1,3.55,No,0
14.35,0,7.175,3.5875,No,0
18.7,0,9.35,4.675,No,0
19.65,0,9.825,4.9125,No,0
17,0,8.5,4.25,No,0
18.1,0,9.05,4.525,No,0
20.8,0.2,10.5,5.35,No,0
18.7,0,9.35,4.675,No,0
19.95,0,9.975,4.9875,No,0
17.45,0,8.725,4.3625,No,0
22.05,0.2,11.125,5.6625,No,1
18,9,13.5,11.25,Yes,0
16.65,0,8.325,4.1625,No,0
17.5,0,8.75,4.375,No,0
16.95,0,8.475,4.2375,No,0
13.6,0,6.8,3.4,No,0
16,0,8,4,No,0
18.1,0,9.05,4.525,No,0
21.05,0,10.525,5.2625,No,0
18.8,0,9.4,4.7,No,1
14.75,6,10.375,8.1875,Yes,1
13.7,11.8,12.75,12.275,Yes,1
16.45,3.6,10.025,6.8125,Yes,1
16.25,6.2,11.225,8.7125,Yes,0
15.9,0,7.95,3.975,No,0
14.65,0.2,7.425,3.8125,No,1
14.8,1.2,8,4.6,Yes,0
19.2,0.2,9.7,4.95,No,0
18.15,0,9.075,4.5375,No,0
14.8,0,7.4,3.7,No,0
15.9,0,7.95,3.975,No,0
18.3,0,9.15,4.575,No,0
17.8,0.2,9,4.6,No,0
22.4,0,11.2,5.6,No,0
23.45,0,11.725,5.8625,No,0
21.7,0,10.85,5.425,No,0
25.2,0,12.6,6.3,No,0
22.05,0,11.025,5.5125,No,0
14.55,19,16.775,17.8875,Yes,1
15.8,1.2,8.5,4.85,Yes,0
20.1,0.4,10.25,5.325,No,0
21.15,1,11.075,6.0375,No,0
23,0,11.5,5.75,No,0
23.45,0,11.725,5.8625,No,0
22.9,0,11.45,5.725,No,0
25,0,12.5,6.25,No,0
28.95,0,14.475,7.2375,No,0
20.95,0.6,10.775,5.6875,No,1
21.2,2.2,11.7,6.95,Yes,0
19.2,1,10.1,5.55,No,1
22.2,0.2,11.2,5.7,No,0
22.3,0,11.15,5.575,No,0
26.4,0,13.2,6.6,No,1
20.7,1.6,11.15,6.375,Yes,0
22.5,0,11.25,5.625,No,0
28.65,0,14.325,7.1625,No,0
23.1,0,11.55,5.775,No,0
30.95,0,15.475,7.7375,No,0
29.9,0,14.95,7.475,No,0
27,0,13.5,6.75,No,1
28.5,0,14.25,7.125,No,0
19.15,0,9.575,4.7875,No,0
22.05,0,11.025,5.5125,No,0
21.7,0,10.85,5.425,No,0
24,0,12,6,No,0
24.4,0,12.2,6.1,No,0
29.15,0,14.575,7.2875,No,0
29.05,0,14.525,7.2625,No,0
22.85,0,11.425,5.7125,No,0
26.2,0,13.1,6.55,No,0
25.2,0,12.6,6.3,No,0
30.9,0,15.45,7.725,No,1
20.35,8.4,14.375,11.3875,Yes,1
24.7,5.8,15.25,10.525,Yes,0
20.5,0,10.25,5.125,No,0
24.5,0,12.25,6.125,No,0
25.45,0,12.725,6.3625,No,1
18.9,12.8,15.85,14.325,Yes,1
19.1,15.2,17.15,16.175,Yes,1
20.6,4.6,12.6,8.6,Yes,0
25.45,0,12.725,6.3625,No,1
25.55,8.4,16.975,12.6875,Yes,0
22,0,11,5.5,No,1
24.05,3,13.525,8.2625,Yes,0
28.65,0,14.325,7.1625,No,0
28.65,0,14.325,7.1625,No,1
20.9,9,14.95,11.975,Yes,0
25.05,0.2,12.625,6.4125,No,0
24.1,0.2,12.15,6.175,No,0
28.7,0,14.35,7.175,No,0
30.55,0,15.275,7.6375,No,0
25.65,0.2,12.925,6.5625,No,0
24.6,0.2,12.4,6.3,No,1
24.95,0.2,12.575,6.3875,No,1
24.85,19.8,22.325,21.0625,Yes,1
25.25,17.2,21.225,19.2125,Yes,1
21.95,92.2,57.075,74.6375,Yes,1
22.45,44.8,33.625,39.2125,Yes,1
24.05,15.4,19.725,17.5625,Yes,1
26.35,0,13.175,6.5875,No,0
26.85,0,13.425,6.7125,No,0
23.4,20.2,21.8,21,Yes,1
24.45,25.4,24.925,25.1625,Yes,1
26.85,9,17.925,13.4625,Yes,0
22.95,0,11.475,5.7375,No,0
21.95,0,10.975,5.4875,No,0
26.35,0,13.175,6.5875,No,0
28,0,14,7,No,0
27.7,0,13.85,6.925,No,0
21.1,0,10.55,5.275,No,0
18.9,9.8,14.35,12.075,Yes,1
19.1,2.8,10.95,6.875,Yes,0
21.55,0,10.775,5.3875,No,0
21.05,0.2,10.625,5.4125,No,1
25.3,10.6,17.95,14.275,Yes,0
24.55,0,12.275,6.1375,No,0
26.15,0,13.075,6.5375,No,0
20.1,0,10.05,5.025,No,0
21.4,1.4,11.4,6.4,Yes,0
21.6,0.2,10.9,5.55,No,0
21.9,0,10.95,5.475,No,0
23.65,0,11.825,5.9125,No,0
25.15,0,12.575,6.2875,No,0
23.7,0,11.85,5.925,No,0
23,0,11.5,5.75,No,0
26,0,13,6.5,No,0
25.6,0,12.8,6.4,No,0
23.05,0,11.525,5.7625,No,1
21.45,0,10.725,5.3625,No,0
20.15,0,10.075,5.0375,No,0
19.65,0,9.825,4.9125,No,0
18.8,0,9.4,4.7,No,0
19,0,9.5,4.75,No,1
20.9,0,10.45,5.225,No,0
21.55,0,10.775,5.3875,No,0
22.15,0,11.075,5.5375,No,0
21.3,0,10.65,5.325,No,0
21.2,0,10.6,5.3,No,0
16.2,0,8.1,4.05,No,0
16.45,0.2,8.325,4.2625,No,0
14.7,0.2,7.45,3.825,No,0
17.5,0,8.75,4.375,No,0
18.6,0.2,9.4,4.8,No,0
19,0,9.5,4.75,No,0
14.35,0,7.175,3.5875,No,0
16.4,0,8.2,4.1,No,0
12.9,0,6.45,3.225,No,0
12.6,0,6.3,3.15,No,0
14.5,0,7.25,3.625,No,0
13.9,0,6.95,3.475,No,0
12.55,0,6.275,3.1375,No,0
16.1,0.4,8.25,4.325,No,0
13.5,0,6.75,3.375,No,0
15.45,0,7.725,3.8625,No,0
12.75,0.2,6.475,3.3375,No,0
13.55,0,6.775,3.3875,No,1
15.45,1.6,8.525,5.0625,Yes,0
14.35,0.2,7.275,3.7375,No,1
15.65,1.4,8.525,4.9625,Yes,1
15.6,33,24.3,28.65,Yes,1
16.8,8.4,12.6,10.5,Yes,0
12.45,0,6.225,3.1125,No,0
12.9,0.2,6.55,3.375,No,0
12.35,0,6.175,3.0875,No,0
10.7,0.2,5.45,2.825,No,0
9.5,0,4.75,2.375,No,0
9.8,0.2,5,2.6,No,0
10.45,0.2,5.325,2.7625,No,0
11.55,0,5.775,2.8875,No,0
11.15,0.6,5.875,3.2375,No,0
11.35,0,5.675,2.8375,No,0
11.75,0.2,5.975,3.0875,No,0
12,0,6,3,No,0
12.7,0,6.35,3.175,No,0
12.55,1,6.775,3.8875,No,1
15.55,0,7.775,3.8875,No,0
9.2,0.2,4.7,2.45,No,0
8.85,0.2,4.525,2.3625,No,0
7.7,0,3.85,1.925,No,0
10.1,0.6,5.35,2.975,No,0
13.1,2.6,7.85,5.225,Yes,0
13.65,0,6.825,3.4125,No,0
11.95,0,5.975,2.9875,No,0
11.95,0.2,6.075,3.1375,No,0
12.7,0,6.35,3.175,No,0
12,0.6,6.3,3.45,No,0
13.75,0,6.875,3.4375,No,0
15,0,7.5,3.75,No,0
9.9,0,4.95,2.475,No,0
10.05,0.2,5.125,2.6625,No,0
10.35,0,5.175,2.5875,No,0
11.5,0.2,5.85,3.025,No,1
11.25,2.8,7.025,4.9125,Yes,0
9.85,0,4.925,2.4625,No,0
13.3,8.4,10.85,9.625,Yes,1
12.6,14.4,13.5,13.95,Yes,0
13.25,0,6.625,3.3125,No,1
11.7,2.2,6.95,4.575,Yes,1
12.75,0,6.375,3.1875,No,0
12.45,0,6.225,3.1125,No,0
10.65,0,5.325,2.6625,No,0
9.7,0.6,5.15,2.875,No,0
10.3,0.2,5.25,2.725,No,0
10.95,0,5.475,2.7375,No,1
9.45,5.4,7.425,6.4125,Yes,1
12.9,0,6.45,3.225,No,0
14.1,0,7.05,3.525,No,0
14.85,1,7.925,4.4625,No,0
10.6,0,5.3,2.65,No,0
11.5,0,5.75,2.875,No,1
16.25,4.6,10.425,7.5125,Yes,0
13.4,0.2,6.8,3.5,No,0
10.45,0,5.225,2.6125,No,0
12.35,0,6.175,3.0875,No,0
12.45,0.2,6.325,3.2625,No,0
12.65,0,6.325,3.1625,No,0
14.05,0,7.025,3.5125,No,0
11.15,0,5.575,2.7875,No,0
11.85,0,5.925,2.9625,No,0
15.15,0,7.575,3.7875,No,0
16.2,0,8.1,4.05,No,0
18.15,0,9.075,4.5375,No,0
13.1,2.6,7.85,5.225,Yes,1
12.1,0,6.05,3.025,No,0
12.05,0,6.025,3.0125,No,0
11.75,0,5.875,2.9375,No,0
16.75,1,8.875,4.9375,No,0
14,0.2,7.1,3.65,No,0
17.4,0,8.7,4.35,No,0
16.75,10.6,13.675,12.1375,Yes,0
14.85,0,7.425,3.7125,No,0
16.9,0,8.45,4.225,No,0
18.7,0,9.35,4.675,No,0
19.75,0,9.875,4.9375,No,0
18.8,0,9.4,4.7,No,0
13,0,6.5,3.25,No,0
12.6,0,6.3,3.15,No,0
19.05,0,9.525,4.7625,No,0
17.8,0,8.9,4.45,No,0
18.85,0.6,9.725,5.1625,No,0
13.35,0.2,6.775,3.4875,No,0
14.95,0.2,7.575,3.8875,No,0
16.65,0,8.325,4.1625,No,0
19.5,0,9.75,4.875,No,0
14.85,18.6,16.725,17.6625,Yes,1
18.85,0,9.425,4.7125,No,0
18.9,0,9.45,4.725,No,1
17.05,3,10.025,6.5125,Yes,0
22.25,0,11.125,5.5625,No,0
18.65,0,9.325,4.6625,No,1
16.5,37.2,26.85,32.025,Yes,0
17.75,0.2,8.975,4.5875,No,0
16.35,0,8.175,4.0875,No,1
15.25,17.4,16.325,16.8625,Yes,1
15.15,3.4,9.275,6.3375,Yes,1
18.3,1.6,9.95,5.775,Yes,0
21.25,12.2,16.725,14.4625,Yes,0
23.55,0.2,11.875,6.0375,No,1
23.4,21.4,22.4,21.9,Yes,0
24.6,0.2,12.4,6.3,No,0
25.6,0,12.8,6.4,No,0
27.25,0,13.625,6.8125,No,0
21.2,0.6,10.9,5.75,No,1
19.65,0,9.825,4.9125,No,0
20.95,0,10.475,5.2375,No,0
17.05,0,8.525,4.2625,No,0
19.25,0,9.625,4.8125,No,0
19.7,0,9.85,4.925,No,0
21,0,10.5,5.25,No,0
24,0,12,6,No,0
24.7,0,12.35,6.175,No,0
20.25,0,10.125,5.0625,No,1
17.9,10.6,14.25,12.425,Yes,1
19.2,25.2,22.2,23.7,Yes,1
22,4.2,13.1,8.65,Yes,0
23.35,0.4,11.875,6.1375,No,1
21.95,4.6,13.275,8.9375,Yes,1
22.75,1.8,12.275,7.0375,Yes,0
23.1,1,12.05,6.525,No,0
23.65,0.2,11.925,6.0625,No,0
25.2,0,12.6,6.3,No,0
27.55,0.6,14.075,7.3375,No,1
26.6,1.8,14.2,8,Yes,0
23.45,0,11.725,5.8625,No,0
25.5,0,12.75,6.375,No,0
20.25,0,10.125,5.0625,No,0
23.7,0,11.85,5.925,No,0
24.45,0,12.225,6.1125,No,0
26.9,0,13.45,6.725,No,0
29.05,0,14.525,7.2625,No,0
25.3,3,14.15,8.575,Yes,1
22.75,2,12.375,7.1875,Yes,1
26.15,3.4,14.775,9.0875,Yes,0
25.25,0.2,12.725,6.4625,No,0
24.7,0,12.35,6.175,No,1
24.25,0,12.125,6.0625,No,1
23.35,2.6,12.975,7.7875,Yes,1
24.05,5.8,14.925,10.3625,Yes,1
24.75,3,13.875,8.4375,Yes,0
25.1,0,12.55,6.275,No,0
26.25,0,13.125,6.5625,No,0
26.6,0,13.3,6.65,No,0
30.7,0,15.35,7.675,No,0
24.55,0,12.275,6.1375,No,0
30.8,0.6,15.7,8.15,No,0
33.05,0,16.525,8.2625,No,0
32.55,0,16.275,8.1375,No,0
32.3,0,16.15,8.075,No,0
32.1,0,16.05,8.025,No,0
29.1,0,14.55,7.275,No,0
20.8,0,10.4,5.2,No,0
22.05,0.2,11.125,5.6625,No,0
23.6,0,11.8,5.9,No,0
24.5,0,12.25,6.125,No,0
23.5,0,11.75,5.875,No,1
20.2,0.2,10.2,5.2,No,0
20.15,0,10.075,5.0375,No,1
23,1.6,12.3,6.95,Yes,0
30.45,0.2,15.325,7.7625,No,0
24.65,0,12.325,6.1625,No,0
20.4,0.6,10.5,5.55,No,0
26,0,13,6.5,No,0
23.35,0,11.675,5.8375,No,0
26.45,0.6,13.525,7.0625,No,1
26.3,4.6,15.45,10.025,Yes,0
19.05,0,9.525,4.7625,No,0
22.95,0,11.475,5.7375,No,0
24.9,0.2,12.55,6.375,No,0
19.9,0,9.95,4.975,No,0
